,AF,CF1,CF2,Control,CF3,CF4,CF5
macrophages,75.16717325,2.421070651,46.14957309,34.83555985,42.5286903,50.21835249,31.30118798
lymphocytes,6.33818589,2.545792473,7.396358399,13.94656366,5.28059313,4.990136725,3.581644538
granulocytes,7.307630779,39.74468709,26.89640983,14.62524814,15.75107465,13.61812122,14.54181225
AEC,0.182370821,1.467315546,2.392757947,4.721283331,2.257759199,0.419019114,0.108082926
